!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
! misc_tran.dat
!
! Miscellaneous collection of transport parameters
!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!
!------------------------------------------------------------------------------
!                      epsilon    Sigma     Dipole Polarizability Rotational
!               Config  ------    (Angst)   Moment                Relaxation
!               Param     k
!------------------------------------------------------------------------------
!
Ar                 0   136.500     3.330     0.000     0.000     0.000
!
C                  0    71.400     3.298     0.000     0.000     0.000 !(*)
C2                 1    97.530     3.621     0.000     1.760     4.000
C2O                1   232.400     3.828     0.000     0.000     1.000 ! *
CN2                1   232.400     3.828     0.000     0.000     1.000 ! OIS
C2H                1   209.000     4.100     0.000     0.000     2.500
C2H2               1   209.000     4.100     0.000     0.000     2.500
C2H2OH             2   224.700     4.162     0.000     0.000     1.000  !(*)
C2H3               2   209.000     4.100     0.000     0.000     1.000  !(*)
C2H4               2   280.800     3.971     0.000     0.000     1.500
C2H5               2   252.300     4.302     0.000     0.000     1.500
C2H6               2   252.300     4.302     0.000     0.000     1.500
C2N                1   232.400     3.828     0.000     0.000     1.000 ! OIS
C2N2               1   349.000     4.361     0.000     0.000     1.000 !(OIS)
C3H2               2   209.000     4.100     0.000     0.000     1.000 !(*)
C3H3               1   252.000     4.760     0.000     0.000     1.000
C3H4               1   252.000     4.760     0.000     0.000     1.000
C3H4P              1   252.000     4.760     0.000     0.000     1.000 ! JAM
C3H6               2   298.900     4.678     0.000     0.000     1.000 ! sve
C3H7               2   266.800     4.982     0.000     0.000     1.000
C4H6               2   357.000     5.180     0.000     0.000     1.000
I*C3H7             2   266.800     4.982     0.000     0.000     1.000
N*C3H7             2   266.800     4.982     0.000     0.000     1.000
C3H8               2   237.100     5.118     0.000     0.000     1.000 ! sve
C4H                1   357.000     5.180     0.000     0.000     1.000
C4H2               1   357.000     5.180     0.000     0.000     1.000
C4H2OH             2   224.700     4.162     0.000     0.000     1.000 !(*)
C4H3               1   357.000     5.180     0.000     0.000     1.000
C4H4               1   357.000     5.180     0.000     0.000     1.000
!
!  Current nomenculature for all of those butene isomers
C4H8               2   357.000     5.176     0.000     0.000     1.000
n1-C4H8            2   357.000     5.176     0.000     0.000     1.000
c2-C4H8            2   357.000     5.176     0.000     0.000     1.000
t2-C4H8            2   357.000     5.176     0.000     0.000     1.000
i-C4H8             2   357.000     5.176     0.000     0.000     1.000
cy-C4H8            2   357.000     5.176     0.000     0.000     1.000
!
C4H9               2   357.000     5.176     0.000     0.000     1.000
S*C4H9             2   357.000     5.176     0.000     0.000     1.000
I*C4H9             2   357.000     5.176     0.000     0.000     1.000
!
!              Current nomenclature for butyl radical species
!
n-C4H9             2   357.000     5.176     0.000     0.000     1.000
s-C4H9             2   357.000     5.176     0.000     0.000     1.000
i-C4H9             2   357.000     5.176     0.000     0.000     1.000
t-C4H9             2   357.000     5.176     0.000     0.000     1.000
!
N*C4H10            2   531.400     4.687     0.000     0.000     1.000 ! sve
I*C4H10            2   330.100     5.278     0.000     0.000     1.000 ! sve
n-C4H10            2   531.400     4.687     0.000     0.000     1.000 ! sve
i-C4H10            2   330.100     5.278     0.000     0.000     1.000 ! sve
!
C5H2               1   357.000     5.180     0.000     0.000     1.000
C5H3               1   357.000     5.180     0.000     0.000     1.000
C6H2               1   357.000     5.180     0.000     0.000     1.000
C6H5               2   412.300     5.349     0.000     0.000     1.000 ! JAM
C6H5(L)            2   412.300     5.349     0.000     0.000     1.000 ! JAM
C6H5O              2   450.000     5.500     0.000     0.000     1.000 ! JAM
C5H5OH             2   450.000     5.500     0.000     0.000     1.000 ! JAM
C6H6               2   412.300     5.349     0.000     0.000     1.000 ! SVE
C6H7               2   412.300     5.349     0.000     0.000     1.000 ! JAM
CH                 1    80.000     2.750     0.000     0.000     0.000
CH2                1   144.000     3.800     0.000     0.000     0.000
CH2(S)             1   144.000     3.800     0.000     0.000     0.000
CH2(SING)          1   144.000     3.800     0.000     0.000     0.000
CH2CHCCH           2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH2CHCCH2          2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH2CHCH2           2   260.000     4.850     0.000     0.000     1.000 ! JAM
CH2CHCHCH          2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH2CHCHCH2         2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH2CO              2   436.000     3.970     0.000     0.000     2.000
CH2O               2   498.000     3.590     0.000     0.000     2.000
CH3                1   144.000     3.800     0.000     0.000     0.000
CH3CC              2   252.000     4.760     0.000     0.000     1.000 ! JAM
CH3CCCH2           2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH3CCCH3           2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH3CCH2            2   260.000     4.850     0.000     0.000     1.000 ! JAM
CH3CHCH            2   260.000     4.850     0.000     0.000     1.000 ! JAM
CH3CH2CCH          2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
CH3CO              2   436.000     3.970     0.000     0.000     2.000
CH3O               2   417.000     3.690     1.700     0.000     2.000
CH3OH              2   481.800     3.626     0.000     0.000     1.000 ! SVE
CH4                2   141.400     3.746     0.000     2.600    13.000
CH4O               2   417.000     3.690     1.700     0.000     2.000
CN                 1    75.000     3.856     0.000     0.000     1.000 !(OIS)
CNC                1   232.400     3.828     0.000     0.000     1.000 ! OIS
